GeneID	ContigID	Start	End
OCPLNDKD_10298	contig-100_10000	50	1037
OCPLNDKD_10299	contig-100_10001	311	1007
OCPLNDKD_10300	contig-100_10002	427	661
OCPLNDKD_10301	contig-100_10002	808	1012
OCPLNDKD_10302	contig-100_10003	478	595
OCPLNDKD_10303	contig-100_10003	622	901
OCPLNDKD_10304	contig-100_10004	111	351
OCPLNDKD_10305	contig-100_10004	384	750
OCPLNDKD_10306	contig-100_10004	746	992
OCPLNDKD_10307	contig-100_10005	42	561
OCPLNDKD_10308	contig-100_10005	626	878
OCPLNDKD_10309	contig-100_10006	225	657
OCPLNDKD_10310	contig-100_10007	797	1022
OCPLNDKD_10311	contig-100_10009	622	874
OCPLNDKD_10312	contig-100_10010	155	944
OCPLNDKD_10313	contig-100_10011	19	217
OCPLNDKD_10314	contig-100_10011	236	407
OCPLNDKD_10315	contig-100_10012	67	496
OCPLNDKD_10316	contig-100_10013	134	644
OCPLNDKD_10317	contig-100_10014	572	980
OCPLNDKD_10318	contig-100_10015	13	763
OCPLNDKD_10319	contig-100_10016	538	886
OCPLNDKD_10321	contig-100_10017	70	748
OCPLNDKD_10322	contig-100_10018	639	978
OCPLNDKD_10323	contig-100_10019	156	339
OCPLNDKD_10324	contig-100_10020	272	1034
OCPLNDKD_10325	contig-100_10023	402	879
OCPLNDKD_10326	contig-100_10025	12	444
OCPLNDKD_10327	contig-100_10026	289	853
OCPLNDKD_10328	contig-100_10027	780	918
OCPLNDKD_10329	contig-100_10028	542	1022
OCPLNDKD_10330	contig-100_10029	531	729
OCPLNDKD_10331	contig-100_10031	101	941
OCPLNDKD_10332	contig-100_10032	161	335
OCPLNDKD_10333	contig-100_10032	449	710
OCPLNDKD_10334	contig-100_10032	742	1015
OCPLNDKD_10335	contig-100_10033	23	875
OCPLNDKD_10336	contig-100_10034	106	484
OCPLNDKD_10337	contig-100_10035	77	830
OCPLNDKD_10338	contig-100_10037	376	814
OCPLNDKD_10339	contig-100_10038	13	583
OCPLNDKD_10340	contig-100_10038	477	903
OCPLNDKD_10341	contig-100_10039	375	573
OCPLNDKD_10342	contig-100_10040	299	476
OCPLNDKD_10343	contig-100_10041	60	507
OCPLNDKD_10344	contig-100_10042	189	432
OCPLNDKD_10345	contig-100_10042	443	698
OCPLNDKD_10346	contig-100_10042	719	1010
OCPLNDKD_10347	contig-100_10043	23	521
OCPLNDKD_10348	contig-100_10044	123	282
OCPLNDKD_10349	contig-100_10044	338	773
OCPLNDKD_10350	contig-100_10044	848	1013
OCPLNDKD_10351	contig-100_10045	125	872
OCPLNDKD_10352	contig-100_10046	297	555
OCPLNDKD_10353	contig-100_10047	5	281
OCPLNDKD_10354	contig-100_10047	340	997
OCPLNDKD_10355	contig-100_10048	305	680
OCPLNDKD_10356	contig-100_10049	118	868
OCPLNDKD_10357	contig-100_10050	261	561
OCPLNDKD_10358	contig-100_10050	557	875
OCPLNDKD_10359	contig-100_10051	293	851
OCPLNDKD_10360	contig-100_10053	19	946
OCPLNDKD_10361	contig-100_10054	241	622
OCPLNDKD_10362	contig-100_10054	614	815
OCPLNDKD_10363	contig-100_10054	814	910
OCPLNDKD_10364	contig-100_10054	909	1023
OCPLNDKD_10365	contig-100_10055	304	1000
OCPLNDKD_10366	contig-100_10056	839	1010
OCPLNDKD_10367	contig-100_10057	517	703
OCPLNDKD_10368	contig-100_10057	820	1033
OCPLNDKD_10369	contig-100_10058	43	796
OCPLNDKD_10370	contig-100_10058	757	973
OCPLNDKD_10371	contig-100_10059	434	1013
OCPLNDKD_01009	contig-100_1006	159	360
OCPLNDKD_01010	contig-100_1006	332	545
OCPLNDKD_01011	contig-100_1006	546	849
OCPLNDKD_01012	contig-100_1006	851	2036
OCPLNDKD_01013	contig-100_1006	2046	2262
OCPLNDKD_01014	contig-100_1006	2510	3146
OCPLNDKD_01015	contig-100_1006	3182	4196
OCPLNDKD_01016	contig-100_1006	4673	7922
OCPLNDKD_01017	contig-100_1006	8106	9348
OCPLNDKD_01018	contig-100_1006	9344	10343
OCPLNDKD_01019	contig-100_1006	10404	11466
OCPLNDKD_01020	contig-100_1006	11467	12091
OCPLNDKD_01021	contig-100_1006	12113	13118
OCPLNDKD_10372	contig-100_10060	20	416
OCPLNDKD_10373	contig-100_10060	571	751
OCPLNDKD_10374	contig-100_10061	465	1032
OCPLNDKD_10375	contig-100_10062	81	558
OCPLNDKD_10376	contig-100_10062	548	968
OCPLNDKD_10377	contig-100_10063	219	816
OCPLNDKD_10379	contig-100_10065	743	917
OCPLNDKD_10380	contig-100_10066	23	326
OCPLNDKD_10381	contig-100_10066	383	689
OCPLNDKD_10382	contig-100_10066	692	995
OCPLNDKD_10383	contig-100_10067	623	857
OCPLNDKD_10384	contig-100_10068	98	290
OCPLNDKD_10385	contig-100_10068	339	474
OCPLNDKD_10386	contig-100_10069	633	1032
OCPLNDKD_10387	contig-100_10070	46	376
OCPLNDKD_10388	contig-100_10070	491	824
OCPLNDKD_10389	contig-100_10071	362	563
OCPLNDKD_10390	contig-100_10071	605	908
OCPLNDKD_10391	contig-100_10072	175	1015
OCPLNDKD_10392	contig-100_10073	195	1008
OCPLNDKD_10393	contig-100_10074	15	735
OCPLNDKD_10394	contig-100_10076	610	1030
OCPLNDKD_10395	contig-100_10077	157	1015
OCPLNDKD_10396	contig-100_10078	6	405
OCPLNDKD_10397	contig-100_10078	442	847
OCPLNDKD_10398	contig-100_10078	815	947
OCPLNDKD_10399	contig-100_10079	15	873
OCPLNDKD_10400	contig-100_10080	15	540
OCPLNDKD_10401	contig-100_10080	389	788
OCPLNDKD_10402	contig-100_10081	70	604
OCPLNDKD_10403	contig-100_10082	38	230
OCPLNDKD_10404	contig-100_10082	186	1029
OCPLNDKD_10405	contig-100_10083	127	565
OCPLNDKD_10406	contig-100_10083	534	993
OCPLNDKD_10407	contig-100_10084	280	442
OCPLNDKD_10408	contig-100_10084	738	972
OCPLNDKD_10409	contig-100_10085	129	756
