GeneID	ContigID	Start	End
LNLDJJPB_01942	contig-100_1010	75	1230
LNLDJJPB_01943	contig-100_1010	1411	1564
LNLDJJPB_01944	contig-100_1010	1599	1773
LNLDJJPB_01945	contig-100_1010	2086	2602
LNLDJJPB_01946	contig-100_1010	2617	3157
LNLDJJPB_01947	contig-100_1010	3251	4829
LNLDJJPB_01948	contig-100_1010	4897	6364
LNLDJJPB_01949	contig-100_1010	6525	7896
LNLDJJPB_01950	contig-100_1010	7892	8108
LNLDJJPB_01951	contig-100_1010	8176	9649
LNLDJJPB_01952	contig-100_1010	9766	10945
LNLDJJPB_01953	contig-100_1010	10955	11576
LNLDJJPB_01954	contig-100_1010	11593	12868
LNLDJJPB_01955	contig-100_1010	12970	13561
LNLDJJPB_01956	contig-100_1011	288	2385
LNLDJJPB_01957	contig-100_1011	2802	3366
LNLDJJPB_01958	contig-100_1011	3635	4586
LNLDJJPB_01959	contig-100_1011	4585	5179
LNLDJJPB_01960	contig-100_1011	5325	5733
LNLDJJPB_01961	contig-100_1011	5852	6845
LNLDJJPB_01962	contig-100_1011	6907	8047
LNLDJJPB_01963	contig-100_1011	8186	8813
LNLDJJPB_01964	contig-100_1011	8806	9568
LNLDJJPB_01965	contig-100_1011	9548	10598
LNLDJJPB_01966	contig-100_1011	10594	11074
LNLDJJPB_01967	contig-100_1011	11073	11784
LNLDJJPB_01968	contig-100_1011	11802	12114
LNLDJJPB_01969	contig-100_1011	12307	12631
LNLDJJPB_01970	contig-100_1011	12680	13286
LNLDJJPB_01971	contig-100_1011	13285	13528
LNLDJJPB_01972	contig-100_1020	275	551
LNLDJJPB_01973	contig-100_1020	2650	3430
LNLDJJPB_01974	contig-100_1020	3429	3969
LNLDJJPB_01975	contig-100_1020	3952	4393
LNLDJJPB_01976	contig-100_1020	4382	4517
LNLDJJPB_01977	contig-100_1020	4700	5939
LNLDJJPB_01978	contig-100_1020	6339	6861
LNLDJJPB_01979	contig-100_1020	6917	8006
LNLDJJPB_01980	contig-100_1020	8097	9390
LNLDJJPB_01981	contig-100_1020	9496	10333
LNLDJJPB_01982	contig-100_1020	10350	11028
LNLDJJPB_01983	contig-100_1020	11020	11779
LNLDJJPB_01984	contig-100_1020	11771	12776
LNLDJJPB_01985	contig-100_1029	37	604
LNLDJJPB_01986	contig-100_1029	611	1562
LNLDJJPB_01987	contig-100_1029	1697	2129
LNLDJJPB_01989	contig-100_1029	2797	3130
LNLDJJPB_01990	contig-100_1029	3356	4694
LNLDJJPB_01991	contig-100_1029	4686	5535
LNLDJJPB_01992	contig-100_1029	5624	7568
LNLDJJPB_01993	contig-100_1029	7658	8288
LNLDJJPB_01994	contig-100_1029	8413	8707
LNLDJJPB_01995	contig-100_1029	8862	9339
LNLDJJPB_01996	contig-100_1029	9586	11020
LNLDJJPB_01997	contig-100_1029	11205	12378
LNLDJJPB_01998	contig-100_1029	12393	13284
LNLDJJPB_01999	contig-100_1031	429	1791
LNLDJJPB_02000	contig-100_1031	1937	2270
LNLDJJPB_02001	contig-100_1031	2460	3183
LNLDJJPB_02002	contig-100_1031	3179	4583
LNLDJJPB_02003	contig-100_1031	4579	5995
LNLDJJPB_02004	contig-100_1031	5995	9061
LNLDJJPB_02005	contig-100_1031	9061	9556
LNLDJJPB_02006	contig-100_1031	9625	12184
LNLDJJPB_02007	contig-100_1031	12183	13236
LNLDJJPB_02008	contig-100_1042	80	1643
LNLDJJPB_02009	contig-100_1042	1845	2361
LNLDJJPB_02010	contig-100_1042	2361	4011
LNLDJJPB_02011	contig-100_1042	4015	4792
LNLDJJPB_02012	contig-100_1042	5066	7916
LNLDJJPB_02013	contig-100_1042	8115	8766
LNLDJJPB_02014	contig-100_1042	8782	11455
LNLDJJPB_02015	contig-100_1052	97	1378
LNLDJJPB_02016	contig-100_1052	1542	4449
LNLDJJPB_02017	contig-100_1052	4460	5090
LNLDJJPB_02018	contig-100_1052	5237	6053
LNLDJJPB_02019	contig-100_1052	6307	8662
LNLDJJPB_02020	contig-100_1052	8714	10001
LNLDJJPB_02021	contig-100_1052	10000	10990
LNLDJJPB_02022	contig-100_1052	10986	11808
LNLDJJPB_02023	contig-100_1052	11810	12188
LNLDJJPB_02024	contig-100_1054	286	580
LNLDJJPB_02025	contig-100_1054	620	1859
LNLDJJPB_02026	contig-100_1054	2021	2474
LNLDJJPB_02027	contig-100_1054	2526	3861
LNLDJJPB_02028	contig-100_1054	4035	5802
LNLDJJPB_02029	contig-100_1054	5847	7239
LNLDJJPB_02030	contig-100_1054	7376	8696
LNLDJJPB_02031	contig-100_1054	8705	10208
LNLDJJPB_02032	contig-100_1054	10207	10798
LNLDJJPB_02033	contig-100_1054	10872	11163
LNLDJJPB_02034	contig-100_1054	11166	12789
LNLDJJPB_02035	contig-100_1063	83	515
LNLDJJPB_02036	contig-100_1063	607	913
LNLDJJPB_02037	contig-100_1063	912	1833
LNLDJJPB_02038	contig-100_1063	2093	3350
LNLDJJPB_02039	contig-100_1063	3642	4884
LNLDJJPB_02040	contig-100_1063	4921	5149
LNLDJJPB_02041	contig-100_1063	5169	5766
LNLDJJPB_02042	contig-100_1063	6138	6246
LNLDJJPB_02043	contig-100_1063	6327	7656
LNLDJJPB_02044	contig-100_1063	7676	8171
LNLDJJPB_02045	contig-100_1063	8181	8772
LNLDJJPB_02046	contig-100_1063	8781	9582
LNLDJJPB_02047	contig-100_1063	9589	9976
LNLDJJPB_02048	contig-100_1063	9987	10683
LNLDJJPB_02049	contig-100_1063	10679	11771
LNLDJJPB_02050	contig-100_1063	12058	12697
LNLDJJPB_02051	contig-100_1069	91	337
LNLDJJPB_02052	contig-100_1069	333	744
LNLDJJPB_02053	contig-100_1069	716	2861
