GeneID	ContigID	Start	End
DLAPOLEO_00001	NZ_CP014234.1	219	462
DLAPOLEO_00002	NZ_CP014234.1	521	2306
DLAPOLEO_00003	NZ_CP014234.1	2463	4257
DLAPOLEO_00004	NZ_CP014234.1	4407	6252
DLAPOLEO_00005	NZ_CP014234.1	6254	7109
DLAPOLEO_00006	NZ_CP014234.1	7385	8753
DLAPOLEO_00007	NZ_CP014234.1	9131	10307
DLAPOLEO_00008	NZ_CP014234.1	10503	12015
DLAPOLEO_00009	NZ_CP014234.1	12280	13429
DLAPOLEO_00010	NZ_CP014234.1	13555	14329
DLAPOLEO_00011	NZ_CP014234.1	14342	16049
DLAPOLEO_00012	NZ_CP014234.1	16592	17765
DLAPOLEO_00013	NZ_CP014234.1	17990	18155
DLAPOLEO_00014	NZ_CP014234.1	18316	19168
DLAPOLEO_00015	NZ_CP014234.1	19325	20726
DLAPOLEO_00016	NZ_CP014234.1	21190	21970
DLAPOLEO_00017	NZ_CP014234.1	22090	23590
DLAPOLEO_00018	NZ_CP014234.1	23732	24194
DLAPOLEO_00019	NZ_CP014234.1	24355	26086
DLAPOLEO_00020	NZ_CP014234.1	26275	26596
DLAPOLEO_00021	NZ_CP014234.1	26662	27118
DLAPOLEO_00022	NZ_CP014234.1	27251	28154
DLAPOLEO_00023	NZ_CP014234.1	28163	29351
DLAPOLEO_00024	NZ_CP014234.1	29445	30030
DLAPOLEO_00025	NZ_CP014234.1	30456	31602
DLAPOLEO_00026	NZ_CP014234.1	31949	32888
DLAPOLEO_00027	NZ_CP014234.1	32920	34393
DLAPOLEO_00028	NZ_CP014234.1	34475	35990
DLAPOLEO_00029	NZ_CP014234.1	36310	37522
DLAPOLEO_00030	NZ_CP014234.1	37529	38057
DLAPOLEO_00031	NZ_CP014234.1	38076	40722
DLAPOLEO_00032	NZ_CP014234.1	41019	42618
DLAPOLEO_00033	NZ_CP014234.1	43166	44174
DLAPOLEO_00034	NZ_CP014234.1	44194	44884
DLAPOLEO_00035	NZ_CP014234.1	44996	45152
DLAPOLEO_00036	NZ_CP014234.1	45457	45982
DLAPOLEO_00037	NZ_CP014234.1	45991	46342
DLAPOLEO_00038	NZ_CP014234.1	46347	46680
DLAPOLEO_00039	NZ_CP014234.1	46710	47151
DLAPOLEO_00040	NZ_CP014234.1	47455	48976
DLAPOLEO_00041	NZ_CP014234.1	49007	49697
DLAPOLEO_00042	NZ_CP014234.1	49906	51295
DLAPOLEO_00043	NZ_CP014234.1	51546	52272
DLAPOLEO_00044	NZ_CP014234.1	52353	53175
DLAPOLEO_00045	NZ_CP014234.1	53190	54321
DLAPOLEO_00046	NZ_CP014234.1	54461	55097
DLAPOLEO_00047	NZ_CP014234.1	55586	56996
DLAPOLEO_00048	NZ_CP014234.1	57140	57893
DLAPOLEO_00049	NZ_CP014234.1	57945	58572
DLAPOLEO_00050	NZ_CP014234.1	58844	59057
DLAPOLEO_00051	NZ_CP014234.1	59181	60357
DLAPOLEO_00052	NZ_CP014234.1	60440	60779
DLAPOLEO_00054	NZ_CP014234.1	61746	62526
DLAPOLEO_00055	NZ_CP014234.1	62573	63323
DLAPOLEO_00056	NZ_CP014234.1	63467	64811
DLAPOLEO_00057	NZ_CP014234.1	65024	66575
DLAPOLEO_00058	NZ_CP014234.1	66799	67489
DLAPOLEO_00059	NZ_CP014234.1	67609	68383
