GeneID	ContigID	Start	End
MLNEPPPB_00001	NZ_LT635457.1	136	1957
MLNEPPPB_00002	NZ_LT635457.1	2111	4892
MLNEPPPB_00003	NZ_LT635457.1	5086	6679
MLNEPPPB_00004	NZ_LT635457.1	7153	8914
MLNEPPPB_00005	NZ_LT635457.1	8913	9420
MLNEPPPB_00006	NZ_LT635457.1	9422	10448
MLNEPPPB_00007	NZ_LT635457.1	11029	13381
MLNEPPPB_00008	NZ_LT635457.1	13528	15154
MLNEPPPB_00009	NZ_LT635457.1	15376	15778
MLNEPPPB_00010	NZ_LT635457.1	15827	16379
MLNEPPPB_00011	NZ_LT635457.1	16469	18227
MLNEPPPB_00012	NZ_LT635457.1	18213	18534
MLNEPPPB_00013	NZ_LT635457.1	18586	19252
MLNEPPPB_00014	NZ_LT635457.1	19317	20211
MLNEPPPB_00015	NZ_LT635457.1	20505	20745
MLNEPPPB_00016	NZ_LT635457.1	20876	21935
MLNEPPPB_00017	NZ_LT635457.1	22169	23321
MLNEPPPB_00018	NZ_LT635457.1	23554	25222
MLNEPPPB_00019	NZ_LT635457.1	25218	27024
MLNEPPPB_00020	NZ_LT635457.1	27123	28314
MLNEPPPB_00021	NZ_LT635457.1	28382	29063
MLNEPPPB_00022	NZ_LT635457.1	29136	30984
MLNEPPPB_00023	NZ_LT635457.1	31004	31694
MLNEPPPB_00024	NZ_LT635457.1	31676	32387
MLNEPPPB_00025	NZ_LT635457.1	32505	32895
MLNEPPPB_00026	NZ_LT635457.1	32990	33524
MLNEPPPB_00027	NZ_LT635457.1	33621	34065
MLNEPPPB_00028	NZ_LT635457.1	34131	36894
MLNEPPPB_00029	NZ_LT635457.1	37052	38531
MLNEPPPB_00030	NZ_LT635457.1	38558	39326
MLNEPPPB_00031	NZ_LT635457.1	39539	40070
MLNEPPPB_00032	NZ_LT635457.1	40119	40557
MLNEPPPB_00033	NZ_LT635457.1	40553	41078
MLNEPPPB_00034	NZ_LT635457.1	41279	42743
MLNEPPPB_00035	NZ_LT635457.1	42762	43566
MLNEPPPB_00036	NZ_LT635457.1	43570	44803
MLNEPPPB_00037	NZ_LT635457.1	44896	46444
MLNEPPPB_00038	NZ_LT635457.1	46508	46655
MLNEPPPB_00042	NZ_LT635457.1	47057	48191
MLNEPPPB_00043	NZ_LT635457.1	48187	48928
MLNEPPPB_00044	NZ_LT635457.1	49023	50442
MLNEPPPB_00045	NZ_LT635457.1	50462	51107
MLNEPPPB_00046	NZ_LT635457.1	51201	52527
MLNEPPPB_00047	NZ_LT635457.1	52547	53516
MLNEPPPB_00048	NZ_LT635457.1	53579	54302
MLNEPPPB_00049	NZ_LT635457.1	54316	54937
MLNEPPPB_00050	NZ_LT635457.1	55006	56023
MLNEPPPB_00051	NZ_LT635457.1	55997	57209
MLNEPPPB_00052	NZ_LT635457.1	57218	58136
MLNEPPPB_00054	NZ_LT635457.1	58511	59555
MLNEPPPB_00057	NZ_LT635457.1	60035	61382
MLNEPPPB_00058	NZ_LT635457.1	61618	62227
MLNEPPPB_00059	NZ_LT635457.1	62226	62874
MLNEPPPB_00060	NZ_LT635457.1	63066	64320
MLNEPPPB_00061	NZ_LT635457.1	64328	64655
MLNEPPPB_00062	NZ_LT635457.1	64747	65233
MLNEPPPB_00063	NZ_LT635457.1	65229	66318
MLNEPPPB_00064	NZ_LT635457.1	66314	67004
MLNEPPPB_00065	NZ_LT635457.1	67000	68209
MLNEPPPB_00066	NZ_LT635457.1	68272	70201
MLNEPPPB_00067	NZ_LT635457.1	70205	72080
MLNEPPPB_00068	NZ_LT635457.1	72294	73284
MLNEPPPB_00069	NZ_LT635457.1	73402	74287
MLNEPPPB_00070	NZ_LT635457.1	74280	75153
MLNEPPPB_00071	NZ_LT635457.1	75121	75874
MLNEPPPB_00072	NZ_LT635457.1	75880	77050
MLNEPPPB_00073	NZ_LT635457.1	77314	78604
MLNEPPPB_00074	NZ_LT635457.1	78600	79503
MLNEPPPB_00075	NZ_LT635457.1	79809	81033
MLNEPPPB_00076	NZ_LT635457.1	81087	82098
MLNEPPPB_00077	NZ_LT635457.1	82099	83023
MLNEPPPB_00078	NZ_LT635457.1	83268	84396
MLNEPPPB_00079	NZ_LT635457.1	84619	85636
MLNEPPPB_00080	NZ_LT635457.1	85632	87021
MLNEPPPB_00081	NZ_LT635457.1	87196	87799
MLNEPPPB_00082	NZ_LT635457.1	88022	89582
MLNEPPPB_00083	NZ_LT635457.1	89714	90695
MLNEPPPB_00084	NZ_LT635457.1	90943	91369
MLNEPPPB_00085	NZ_LT635457.1	92199	92481
MLNEPPPB_00086	NZ_LT635457.1	92748	93522
MLNEPPPB_00087	NZ_LT635457.1	93584	93920
MLNEPPPB_00088	NZ_LT635457.1	93916	95716
MLNEPPPB_00089	NZ_LT635457.1	95817	97149
MLNEPPPB_00090	NZ_LT635457.1	97236	97527
MLNEPPPB_00091	NZ_LT635457.1	97523	98099
MLNEPPPB_00092	NZ_LT635457.1	98108	98951
MLNEPPPB_00093	NZ_LT635457.1	98947	99757
MLNEPPPB_00094	NZ_LT635457.1	99845	100481
MLNEPPPB_00095	NZ_LT635457.1	100477	101257
MLNEPPPB_00096	NZ_LT635457.1	101284	102298
MLNEPPPB_00097	NZ_LT635457.1	102294	104376
MLNEPPPB_00098	NZ_LT635457.1	104372	105155
MLNEPPPB_00099	NZ_LT635457.1	105289	106819
MLNEPPPB_00100	NZ_LT635457.1	106953	108144
MLNEPPPB_00101	NZ_LT635457.1	108185	108731
MLNEPPPB_00102	NZ_LT635457.1	108825	111828
MLNEPPPB_00103	NZ_LT635457.1	111962	113432
MLNEPPPB_00104	NZ_LT635457.1	113549	114062
MLNEPPPB_00105	NZ_LT635457.1	114114	114585
MLNEPPPB_00106	NZ_LT635457.1	114673	115477
MLNEPPPB_00107	NZ_LT635457.1	115473	116082
MLNEPPPB_00108	NZ_LT635457.1	116034	117267
MLNEPPPB_00110	NZ_LT635457.1	117606	118212
MLNEPPPB_00112	NZ_LT635457.1	118622	119663
MLNEPPPB_00113	NZ_LT635457.1	119693	120722
MLNEPPPB_00114	NZ_LT635457.1	120913	121633
MLNEPPPB_00115	NZ_LT635457.1	121633	122404
MLNEPPPB_00116	NZ_LT635457.1	122400	123258
MLNEPPPB_00117	NZ_LT635457.1	123322	126082
MLNEPPPB_00118	NZ_LT635457.1	126327	127701
MLNEPPPB_00119	NZ_LT635457.1	127819	129409
MLNEPPPB_00120	NZ_LT635457.1	129408	130359
MLNEPPPB_00121	NZ_LT635457.1	130355	131222
MLNEPPPB_00122	NZ_LT635457.1	131218	132799
MLNEPPPB_00123	NZ_LT635457.1	132791	133898
MLNEPPPB_00124	NZ_LT635457.1	133875	135477
MLNEPPPB_00125	NZ_LT635457.1	135648	137010
MLNEPPPB_00126	NZ_LT635457.1	137171	137978
MLNEPPPB_00127	NZ_LT635457.1	138162	138900
MLNEPPPB_00128	NZ_LT635457.1	138896	140450
MLNEPPPB_00129	NZ_LT635457.1	140485	141457
MLNEPPPB_00130	NZ_LT635457.1	141460	142042
MLNEPPPB_00131	NZ_LT635457.1	142238	144803
MLNEPPPB_00132	NZ_LT635457.1	144762	146058
MLNEPPPB_00133	NZ_LT635457.1	146096	146966
MLNEPPPB_00134	NZ_LT635457.1	147049	148972
MLNEPPPB_00135	NZ_LT635457.1	149022	149403
MLNEPPPB_00136	NZ_LT635457.1	149455	149788
MLNEPPPB_00137	NZ_LT635457.1	149788	150928
MLNEPPPB_00138	NZ_LT635457.1	150929	151676
MLNEPPPB_00139	NZ_LT635457.1	151690	152713
MLNEPPPB_00140	NZ_LT635457.1	152809	153490
MLNEPPPB_00141	NZ_LT635457.1	153504	154830
MLNEPPPB_00142	NZ_LT635457.1	154849	155845
MLNEPPPB_00143	NZ_LT635457.1	155848	157513
MLNEPPPB_00144	NZ_LT635457.1	157544	158057
MLNEPPPB_00145	NZ_LT635457.1	158074	159328
MLNEPPPB_00146	NZ_LT635457.1	159327	160605
MLNEPPPB_00147	NZ_LT635457.1	160629	162027
